Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Rk,salary,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,player_id,log_salary
Julian Strawther,22.0,DEN,SG,65.0,4.0,1384.0,9.5,0.559,0.553,0.185,1.4,9.5,5.6,7.6,1.4,1.0,9.8,17.8,0.5,0.8,1.3,0.043,-3.1,-1.4,-4.5,-0.9,,335,2674200.0,4826931.0,,,,,7501131.0,strawju01,14.799160828162702
Nick Smith Jr.,20.0,CHO,SG,60.0,27.0,1369.0,8.3,0.502,0.539,0.081,1.0,9.1,5.0,16.7,0.6,0.4,12.2,20.8,-0.9,0.3,-0.5,-0.019,-3.2,-2.6,-5.7,-1.3,,333,2710680.0,,,,,,2710680.0,smithni01,14.812710083889321
Jaime Jaquez Jr.,23.0,MIA,SF,66.0,17.0,1368.0,14.3,0.543,0.258,0.307,6.8,16.5,11.7,17.9,2.2,1.0,15.7,20.2,0.5,1.8,2.3,0.081,-1.4,0.5,-0.9,0.4,,289,3861600.0,5939141.0,,,,,9800741.0,jaqueja01,15.16659216332842
Nicolas Batum,36.0,LAC,PF,78.0,8.0,1367.0,10.3,0.633,0.853,0.088,4.0,14.0,9.0,7.8,1.9,2.6,12.1,9.0,1.5,2.0,3.5,0.124,-1.2,2.0,0.8,1.0,,247,5601600.0,5881680.0,,,,,5601600.0,batumni01,15.538562829182538
Jeremy Sochan,21.0,SAS,PF,54.0,23.0,1364.0,15.9,0.589,0.194,0.267,10.0,17.7,13.8,13.7,1.6,1.8,13.8,19.0,1.7,1.1,2.7,0.096,-0.8,-0.4,-1.2,0.3,,216,7874853.0,,,,,,7096231.0,sochaje01,15.87918507583508
Bogdan Bogdanović,32.0,LAC,SG,30.0,4.0,750.0,14.0,0.608,0.534,0.119,1.8,12.1,7.0,18.7,1.4,0.7,11.6,18.6,1.1,0.9,2.0,0.128,0.1,0.1,0.2,0.4,,112,16020000.0,16020000.0,,,,,16020000.0,bogdabo01,16.589348499604487
Justin Champagnie,23.0,WAS,SF,62.0,31.0,1340.0,15.7,0.614,0.47,0.178,8.6,18.6,13.6,6.8,2.3,2.6,10.9,15.6,1.6,1.2,2.8,0.1,-0.3,-0.2,-0.5,0.5,,349,2349578.0,2667944.0,3005085.0,,,,5017522.0,champju01,14.669746295526831
Paul George,34.0,PHI,PF,41.0,41.0,1334.0,14.5,0.543,0.47,0.17,2.0,17.2,9.3,20.9,2.8,1.5,14.7,23.5,-0.2,1.2,1.0,0.036,-0.5,0.1,-0.4,0.5,,13,51666090.0,54126380.0,56586670.0,,,,105792470.0,georgpa01,17.7603122248628
Ausar Thompson,22.0,DET,SF,59.0,48.0,1328.0,17.2,0.568,0.107,0.309,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2,,188,8775000.0,11117925.0,,,,,19892925.0,thompau01,15.987417327316203
Donovan Clingan,20.0,POR,C,67.0,37.0,1324.0,17.4,0.574,0.147,0.311,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,1.8,2.2,4.0,0.144,-1.7,1.4,-0.3,0.6,,214,7178400.0,7519920.0,9550298.0,,,,14698320.0,clingdo01,15.786587074965984
Jordan Hawkins,22.0,NOP,SG,56.0,9.0,1321.0,9.6,0.504,0.597,0.176,2.0,11.2,6.5,7.3,1.1,1.7,8.8,21.0,-0.7,0.1,-0.5,-0.02,-2.4,-3.0,-5.4,-1.2,,271,4741320.0,7021895.0,,,,,11763215.0,hawkijo01,15.371826135915278
Tyrese Martin,25.0,BRK,SG,60.0,11.0,1315.0,10.9,0.533,0.606,0.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,0.0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2,,420,2191897.0,,,,,,2191897.0,martity01,14.600277936894928
Jonathan Mogbo,23.0,TOR,PF,63.0,18.0,1286.0,11.9,0.496,0.197,0.23,8.9,17.3,13.0,15.3,2.1,2.5,15.1,15.0,0.3,1.6,1.9,0.071,-2.9,1.0,-1.9,0.0,,426,1955377.0,2296271.0,,,,,1955377.0,mogbojo01,14.486093571685258
Jalen Johnson,23.0,ATL,SF,36.0,36.0,1284.0,17.3,0.569,0.26,0.232,5.2,26.0,15.3,20.5,2.0,2.6,15.1,22.5,0.8,1.6,2.4,0.089,0.5,1.4,1.8,1.2,,59,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,150000000.0,johnsja05,17.216707939626428
Max Strus,28.0,CLE,SF,50.0,37.0,1273.0,12.6,0.607,0.786,0.091,4.6,13.6,9.2,15.6,1.0,0.9,12.2,14.7,2.2,1.3,3.4,0.13,1.1,0.2,1.3,1.1,,113,15936452.0,16660836.0,,,,,32597288.0,strusma01,16.584119621858097
Ron Holland,19.0,DET,SF,81.0,2.0,1266.0,11.1,0.556,0.363,0.293,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,0.2,1.5,1.8,0.067,-3.3,0.3,-3.0,-0.3,,191,8657280.0,9069600.0,11491183.0,,,,17726880.0,hollaro01,15.973911143442912
Dean Wade,28.0,CLE,PF,59.0,30.0,1252.0,10.1,0.563,0.819,0.111,4.5,16.6,10.8,7.3,1.6,1.4,7.2,10.4,1.3,1.7,3.0,0.113,-1.0,1.2,0.3,0.7,,223,6623456.0,,,,,,,wadede01,15.706127846070876
Tidjane Salaün,19.0,CHO,PF,60.0,10.0,1244.0,7.7,0.457,0.594,0.272,5.9,18.4,12.0,8.5,1.1,1.1,13.1,15.2,-0.9,0.9,0.0,0.002,-4.3,-0.8,-5.2,-1.0,,206,7863240.0,8237880.0,10445633.0,,,,16101120.0,salauti01,15.877709293209104
